comm,class_txt,heavy,medium,light,sour,sweet
  CRUDE OIL,CRUDE OIL,0,0,0,0,0
"""CRUDE OIL, COLD LAKE""",CRUDE OIL,0,0,0,0,0
ALASKA NORTH SLOPE CRUDE,CRUDE OIL,0,0,0,0,0
ALASKA NORTH SLOPE CRUDE OIL,CRUDE OIL,0,0,0,0,0
ALBIAN HEAVY SYNTHETIC ,CRUDE OIL,1,0,0,0,0
ANS CRUDE OIL,CRUDE OIL,0,0,0,0,0
ANS-ALASKA NORTH SLOPE CRUDE,CRUDE OIL,0,0,0,0,0
ARABIAN MEDIUM,CRUDE OIL,0,2,0,0,0
BAKKEN CRUDE OIL,CRUDE OIL,0,0,0,0,0
BASRAH CRUDE,CRUDE OIL,0,0,0,0,0
BASS RIVER CRUDE OIL - NON-H2S,CRUDE OIL,0,0,0,0,0
COKER CRUDE,CRUDE OIL,0,0,0,0,0
COLD LAKE,CRUDE OIL,0,0,0,0,0
COLD LAKE CRUDE OIL,CRUDE OIL,0,0,0,0,0
CONDENSATE,CRUDE OIL,0,0,0,0,0
CRIDE OIL,CRUDE OIL,0,0,0,0,0
CRUDE,CRUDE OIL,0,0,0,0,0
CRUDE ,CRUDE OIL,0,0,0,0,0
CRUDE HLS,CRUDE OIL,1,0,0,0,1
CRUDE OIL,CRUDE OIL,0,0,0,0,0
CRUDE OIL ,CRUDE OIL,0,0,0,0,0
CRUDE OIL  HEAVY LOUISIANA SWEET (HLS),CRUDE OIL,1,0,0,0,1
CRUDE OIL & NAPTHA,CRUDE OIL,0,0,0,0,0
CRUDE OIL (BURNED),CRUDE OIL,0,0,0,0,0
CRUDE OIL (COLD LAKE),CRUDE OIL,0,0,0,0,0
CRUDE OIL (KISSANJE),CRUDE OIL,0,0,0,0,0
CRUDE OIL (SJV CRUDE),CRUDE OIL,0,0,0,0,0
CRUDE OIL (SJV),CRUDE OIL,0,0,0,0,0
CRUDE OIL (SMILEY COLEVILLE HEAVY),CRUDE OIL,1,0,0,0,0
CRUDE OIL (SWEET),CRUDE OIL,0,0,0,0,1
CRUDE OIL -  HLS,CRUDE OIL,1,0,0,0,1
CRUDE OIL - HEAVY LOUISIANA SWEET,CRUDE OIL,1,0,0,0,1
CRUDE OIL - HLS,CRUDE OIL,1,0,0,0,1
CRUDE OIL - SJLB,CRUDE OIL,0,0,0,0,0
CRUDE OIL CONDENSATE,CRUDE OIL,0,0,0,0,0
CRUDE OIL HLS (HEAVY LOUISIANA SWEET),CRUDE OIL,1,0,0,0,1
CRUDE OIL MIXTURE,CRUDE OIL,0,0,0,0,0
CRUDE OIL SLOP,CRUDE OIL,0,0,0,0,0
CRUDE OIL SOUR,CRUDE OIL,0,0,0,1,0
CRUDE OIL TANK BOTTOMS,CRUDE OIL,0,0,0,0,0
CRUDE OIL-BCF 17,CRUDE OIL,0,0,0,0,0
CRUDE OIL/API GRAVITY 58,CRUDE OIL,0,0,0,0,0
CRUDE OILE,CRUDE OIL,0,0,0,0,0
DISPLACEMENT OIL,CRUDE OIL,0,0,0,0,0
EUGENE ISLAND CRUDE ,CRUDE OIL,0,0,0,0,0
FOSTERTON CRUDE OIL,CRUDE OIL,0,0,0,0,0
GIBSON SOUR,CRUDE OIL,0,0,0,1,0
GRUDE OIL,CRUDE OIL,0,0,0,0,0
HEAVY CRUDE OIL,CRUDE OIL,1,0,0,0,0
HOV (HOOVER),CRUDE OIL,0,0,0,0,0
HYDRAULIC OIL,CRUDE OIL,0,0,0,0,0
HYDRO TREATED GAS OIL,CRUDE OIL,0,0,0,0,0
HYDROTEST WATER/OIL MIXTURE,CRUDE OIL,0,0,0,0,0
KANSAS SWEET,CRUDE OIL,0,0,0,0,1
LEF CRUDE,CRUDE OIL,0,0,0,0,0
LIGHT CRUDE OIL,CRUDE OIL,0,0,1,0,0
LIGHT SOUR BLEND,CRUDE OIL,0,0,5,5,0
LIGHT SWEET CRUDE OIL,CRUDE OIL,0,0,1,0,1
LLOYDMINISTER BLEND,CRUDE OIL,0,0,0,0,0
